,Rank,University,Location,Country,Overall Score,IRN,H-index,Citations Per Paper,Academic Reputation,Employer Reputation
314,314,National Sun Yat-sen University,Kaohsiung City,Taiwan,64.3,35.6,67.4,80.1,65.5,62.3
315,314,Universidad Adolfo Ibáñez,Santiago,Chile,64.3,31.7,55.9,64.4,69.0,64.1
316,317,Florida International University,Miami,United States,64.2,69.6,71.5,83.8,62.5,59.3
317,317,"University of California, Santa Barbara (UCSB)",Santa Barbara,United States,64.2,58.8,80.0,93.1,61.9,57.8
318,319,Bilkent University,Ankara,Turkey,64.1,24.2,62.4,72.1,64.2,69.1
319,319,Instituto Tecnológico Autónomo de México (ITAM),Mexico City,Mexico,64.1,11.8,54.0,54.0,72.1,64.6
320,319,King Saud University,Riyadh,Saudi Arabia,64.1,75.4,66.3,89.2,61.2,60.1
321,319,University of Central Florida,Orlando,United States,64.1,66.6,75.0,86.4,62.1,58.6
322,323,L.N. Gumilyov Eurasian National University (ENU),Nur-Sultan,Kazakhstan,64,7,40.3,40.2,73.3,70.0
323,323,RWTH Aachen University,Aachen,Germany,64,66.6,70.6,85.2,59.0,64.9
324,323,Tohoku University,Sendai City,Japan,64,29.4,55.9,78.9,63.4,68.9
325,323,University of Miami,Miami,United States,64,61.8,74.2,88.4,62.4,58.5
326,323,University of Pretoria,Pretoria,South Africa,64,73.6,68.5,79.4,60.8,62.7
327,328,Ca' Foscari University of Venice,Venice,Italy,63.9,39.8,57.7,76.6,63.5,66.9
328,328,University of Jordan,Amman,Jordan,63.9,45,57.7,69.0,60.5,73.1
329,330,Koç University,Istanbul,Turkey,63.8,21.2,57.7,69.9,65.1,68.8
330,330,National Taiwan University of Science and Technology (Taiwan Tech),Taipei City,Taiwan,63.8,36.2,67.4,87.3,61.7,65.0
331,330,University of Antwerp,Antwerp,Belgium,63.8,78.2,75.8,86.3,63.9,52.6
332,330,Vrije Universiteit Brussel (VUB),Brussels,Belgium,63.8,66.9,74.2,85.6,65.0,53.1
333,334,American University,Washington D.C.,United States,63.7,28.8,67.4,80.7,64.0,63.8
